Ref,Val,Package,PosX,PosY,Rot,Side
"R99","1k","R_0603",-80.750000,-9.250000,0.000000,top
"R100","470","R_0603",-33.750000,-76.750000,180.000000,top
"R101","1k","R_0603",-24.750000,-16.750000,270.000000,top
"R102","1k","R_0603",-24.750000,-11.250000,270.000000,top
"R103","1k","R_0603",-36.250000,-12.250000,270.000000,top
"R104","1k","R_0603",-24.750000,-5.750000,270.000000,top
"R105","1k","R_0603",-83.500000,-10.750000,0.000000,top
"R106","10k","R_0603",-74.000000,-9.250000,0.000000,top
"R107","15k","R_0603",-31.000000,-76.750000,0.000000,top
"R108","1k","R_0603",-71.250000,-9.250000,0.000000,top
"R109","120","R_0603",-15.250000,-31.750000,90.000000,top
"R110","120","R_0603",-15.250000,-48.250000,90.000000,top
"R111","120","R_0603",-15.250000,-26.250000,90.000000,top
"R112","120","R_0603",-15.250000,-42.750000,90.000000,top
"R113","120","R_0603",-15.250000,-37.250000,90.000000,top
"R114","120","R_0603",-15.250000,-20.750000,90.000000,top
"R115","10k","R_0603",-30.000000,-70.750000,180.000000,top
"R116","10k","R_0603",-78.750000,-38.000000,0.000000,top
"R117","1k","R_0603",-76.000000,-38.000000,0.000000,top
"R118","1k","R_0603",-27.250000,-74.500000,180.000000,top
"R119","1k","R_0603",-71.250000,-10.750000,180.000000,top
"R120","470","R_0603",-86.500000,-2.750000,0.000000,top
"R121","1k","R_0603",-75.500000,-43.500000,90.000000,top
"R122","1k","R_0603",-75.500000,-40.750000,90.000000,top
"R123","1k","R_0603",-24.750000,-33.250000,270.000000,top
"R124","1k","R_0603",-24.750000,-49.500000,270.000000,top
"R125","1k","R_0603",-24.750000,-27.750000,270.000000,top
"R126","1k","R_0603",-24.750000,-44.250000,270.000000,top
"R127","1k","R_0603",-24.750000,-38.750000,270.000000,top
"R128","1k","R_0603",-24.750000,-22.250000,270.000000,top
"R129","1k","R_0603",-18.750000,-68.250000,0.000000,top
"R130","120","R_0603",-29.250000,-29.000000,90.000000,top
"R131","120","R_0603",-29.250000,-45.500000,90.000000,top
"R132","10k","R_0603",-93.750000,-36.500000,270.000000,top
"R133","51k","R_0603",-95.000000,-36.500000,90.000000,top
"R134","470","R_0603",-76.000000,-2.500000,0.000000,top
"R135","10k","R_0603",-2.250000,-27.000000,0.000000,top
"R136","1k","R_0603",-2.250000,-28.250000,180.000000,top
"R137","10k","R_0603",-4.250000,-22.250000,0.000000,top
"R138","10k","R_0603",-2.250000,-43.500000,0.000000,top
"R139","1k","R_0603",-2.250000,-44.750000,180.000000,top
"R140","10k","R_0603",-4.250000,-38.750000,0.000000,top
"R141","51k","R_0603",-77.250000,-95.500000,0.000000,top
"R142","10k","R_0603",-77.250000,-97.000000,180.000000,top
"R143","1.5k","R_0603",-9.000000,-96.750000,90.000000,top
"R144","3.9k","R_0603",-95.000000,-39.250000,90.000000,top
"R145","1k","R_0603",-75.000000,-32.250000,270.000000,top
"R146","3.9k","R_0603",-75.000000,-20.750000,270.000000,top
"R147","22","R_0603",-27.750000,-23.500000,90.000000,top
"R148","22","R_0603",-27.750000,-40.000000,90.000000,top
"R149","3.9k","R_0603",-98.250000,-11.500000,0.000000,top
"R150","1.5k","R_0603",-8.250000,-59.750000,180.000000,top
"R151","22","R_0603",-8.250000,-62.250000,0.000000,top
"R152","22","R_0603",-8.250000,-61.000000,0.000000,top
"R153","1k","R_0603",-65.500000,-31.250000,180.000000,top
"R154","22","R_0603",-81.250000,-11.250000,90.000000,top
"R155","10k","R_0603",-93.000000,-11.750000,270.000000,top
"R156","10k","R_0603",-89.250000,-11.750000,270.000000,top
"R157","10k","R_0603",-91.750000,-11.750000,270.000000,top
"R158","10k","R_0603",-90.500000,-11.750000,270.000000,top
"R159","22","R_0603",-83.750000,-37.750000,270.000000,top
"R160","22","R_0603",-80.000000,-11.250000,90.000000,top
"R161","3.9k","R_0603",-28.250000,-68.000000,270.000000,top
"R162","1k","R_0603",-28.250000,-65.250000,0.000000,top
"REF1","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","Fiducial_1mm_Outer_CopperTop",-32.000000,-16.250000,0.000000,top
"REF2","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","Fiducial_1mm_Outer_CopperTop",-98.000000,-39.250000,0.000000,top
"REF3","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","Fiducial_1mm_Outer_CopperTop",-7.000000,-89.250000,0.000000,top
"REF4","Fiducial_1mm_Dia_2.54mm_Outer_CopperTop","Fiducial_1mm_Outer_CopperTop",-86.000000,-62.250000,0.000000,top
"U1","USBLC6-4SC6","SOT-23-6",-41.000000,-19.000000,270.000000,top
"U2","zldo1117","SOT-223",-80.000000,-47.000000,270.000000,top
"U3","SI8621","SOIC-8-N",-29.000000,-58.250000,0.000000,top
"U4","ACT4088","SOT-23-6",-2.000000,-78.750000,90.000000,top
"U5","LNK304D","SOIC-7",-19.000000,-95.750000,0.000000,top
"U6","LM358","SOIC-8-N",-34.250000,-25.250000,90.000000,top
"U7","LM358","SOIC-8-N",-34.250000,-41.750000,90.000000,top
"U8","SN65176B","SOIC-8-N",-20.000000,-15.250000,0.000000,top
"U9","SN65176B","SOIC-8-N",-20.000000,-9.750000,0.000000,top
"U10","SN65176B","SOIC-8-N",-31.500000,-10.750000,0.000000,top
"U11","SN65176B","SOIC-8-N",-20.000000,-4.250000,0.000000,top
"U13","ACT4088","SOT-23-6",-81.250000,-34.750000,0.000000,top
